channel	time	viewers	likes	dislikes	video_c
TV Rain	1599408082.588902	45965	29087	1546	0
Соловьёв LIVE	1599408083.0871124	20203	2699	344	0
TV Rain	1599408113.6359625	45817	29098	1546	0
Соловьёв LIVE	1599408114.1084197	20285	2730	352	0
TV Rain	1599408144.6442647	45868	29111	1550	0
Соловьёв LIVE	1599408145.1442106	20374	2757	357	0
TV Rain	1599408175.691713	46117	29129	1551	0
Соловьёв LIVE	1599408176.1625881	20515	2798	357	0
TV Rain	1599408206.7175694	46173	29150	1554	0
Соловьёв LIVE	1599408207.229302	20801	2832	366	0
TV Rain	1599408237.7736092	45912	29178	1557	0
Соловьёв LIVE	1599408238.2101283	20961	2872	372	0
TV Rain	1599408268.7483242	45874	29190	1557	0
Соловьёв LIVE	1599408269.17777	21129	2906	378	0
TV Rain	1599408299.6886666	45979	29195	1558	0
Соловьёв LIVE	1599408300.159311	21301	2933	382	0
TV Rain	1599408330.767048	46073	29208	1559	0
Соловьёв LIVE	1599408331.25543	21554	2959	384	0
TV Rain	1599408361.8340127	45864	29225	1561	0
Соловьёв LIVE	1599408362.3140001	21808	2981	388	0
TV Rain	1599408392.844251	46069	29235	1562	0
Соловьёв LIVE	1599408393.3086042	21883	3004	394	0
TV Rain	1599408423.8261585	46090	29260	1565	0
Соловьёв LIVE	1599408424.3144908	21858	3033	399	0
TV Rain	1599408454.8661304	45739	29282	1566	0
Соловьёв LIVE	1599408455.330806	21884	3075	402	0
TV Rain	1599408485.8402894	45255	29291	1567	0
Соловьёв LIVE	1599408486.3184252	21934	3100	406	0
TV Rain	1599408516.9076645	44934	29303	1568	0
Соловьёв LIVE	1599408517.373961	22003	3115	410	0
TV Rain	1599408547.9225316	44798	29311	1568	0
Соловьёв LIVE	1599408548.408739	22025	3143	411	0
TV Rain	1599408578.9243813	44800	29318	1568	0
Соловьёв LIVE	1599408579.41942	22195	3158	412	0
TV Rain	1599408610.0216835	44740	29329	1570	0
Соловьёв LIVE	1599408610.4908152	22311	3199	415	0
TV Rain	1599408641.0777383	44532	29340	1572	0
Соловьёв LIVE	1599408641.5577924	22367	3248	419	0
TV Rain	1599408672.0913496	44193	29352	1574	0
Соловьёв LIVE	1599408672.6152542	22334	3274	421	0
TV Rain	1599408703.1359785	44024	29364	1578	0
Соловьёв LIVE	1599408703.621945	22510	3294	425	0
TV Rain	1599408734.1537006	43948	29375	1579	0
Соловьёв LIVE	1599408734.6328309	22632	3323	430	0
TV Rain	1599408765.3059297	43816	29391	1579	0
Соловьёв LIVE	1599408765.8512404	22729	3354	435	0
TV Rain	1599408796.4347725	43668	29408	1581	0
Соловьёв LIVE	1599408796.91794	22796	3380	436	0
TV Rain	1599408827.4410295	43441	29420	1582	0
Соловьёв LIVE	1599408827.905832	23107	3398	439	0
TV Rain	1599408858.4665341	43217	29429	1582	0
Соловьёв LIVE	1599408858.9130917	23530	3409	444	0
TV Rain	1599408889.4161432	43160	29439	1582	0
Соловьёв LIVE	1599408889.9224777	23798	3426	452	0
TV Rain	1599408920.5265298	42990	29449	1583	0
Соловьёв LIVE	1599408920.9887083	24002	3444	456	0
TV Rain	1599408951.544583	42765	29466	1584	0
Соловьёв LIVE	1599408952.0916462	24023	3477	460	0
TV Rain	1599408982.6248004	42550	29488	1585	0
Соловьёв LIVE	1599408983.1473897	23855	3502	462	0
TV Rain	1599409013.6663363	42458	29495	1586	0
Соловьёв LIVE	1599409014.1653981	23854	3519	471	0
TV Rain	1599409044.663611	42605	29513	1587	0
Соловьёв LIVE	1599409045.1321247	24026	3532	473	0
TV Rain	1599409075.6633065	43098	29517	1589	0
Соловьёв LIVE	1599409076.130175	24202	3558	475	0
TV Rain	1599409106.7265797	43694	29527	1589	0
Соловьёв LIVE	1599409107.233179	24229	3579	481	0
TV Rain	1599409137.7604022	43997	29545	1591	0
Соловьёв LIVE	1599409138.3475745	24181	3588	486	0
TV Rain	1599409168.98826	44467	29559	1591	0
Соловьёв LIVE	1599409169.428496	24227	3607	491	0
TV Rain	1599409199.9857447	44641	29574	1592	0
Соловьёв LIVE	1599409200.4968865	24546	3625	497	0
TV Rain	1599409231.1678665	44841	29584	1593	0
Соловьёв LIVE	1599409231.706681	24675	3660	502	0
TV Rain	1599409262.28485	45120	29600	1593	0
Соловьёв LIVE	1599409262.7698092	24583	3678	511	0
TV Rain	1599409293.287645	45198	29625	1593	0
Соловьёв LIVE	1599409293.7628305	24480	3710	516	0
TV Rain	1599409324.2871208	45191	29643	1593	0
Соловьёв LIVE	1599409324.77515	24334	3741	520	0
TV Rain	1599409355.2495959	45094	29664	1594	0
Соловьёв LIVE	1599409355.7645383	24239	3772	524	0
TV Rain	1599409386.3853238	44752	29697	1599	0
Соловьёв LIVE	1599409386.9209096	24098	3800	527	0
TV Rain	1599409417.4503074	44147	29715	1599	0
Соловьёв LIVE	1599409417.918221	24167	3814	529	0
TV Rain	1599409448.419583	43703	29726	1599	0
Соловьёв LIVE	1599409448.954458	24454	3830	530	0
TV Rain	1599409479.5463283	43370	29738	1599	0
Соловьёв LIVE	1599409480.0481372	24577	3845	530	0
TV Rain	1599409510.5267313	42711	29760	1600	0
Соловьёв LIVE	1599409510.9983	24511	3868	532	0
TV Rain	1599409541.549223	42391	29768	1601	0
Соловьёв LIVE	1599409542.0717812	24415	3880	533	0
TV Rain	1599409572.7023404	42257	29776	1602	0
Соловьёв LIVE	1599409573.1895328	24611	3897	536	0
TV Rain	1599409603.6706529	41949	29788	1603	0
Соловьёв LIVE	1599409604.1442034	24806	3917	537	0
TV Rain	1599409634.7053573	41810	29796	1603	0
Соловьёв LIVE	1599409635.1660957	24917	3936	544	0
TV Rain	1599409665.7066245	41556	29804	1606	0
Соловьёв LIVE	1599409666.2344744	24952	3962	550	0
TV Rain	1599409696.809924	41246	29815	1607	0
Соловьёв LIVE	1599409697.2778337	24827	3978	550	0
TV Rain	1599409727.815069	41033	29825	1608	0
Соловьёв LIVE	1599409728.2864206	24736	4002	556	0
TV Rain	1599409758.8330996	41001	29831	1608	0
Соловьёв LIVE	1599409759.328872	24746	4028	560	0
TV Rain	1599409789.839665	40863	29842	1609	0
Соловьёв LIVE	1599409790.292323	24678	4060	565	0
TV Rain	1599409820.8129077	41025	29850	1609	0
Соловьёв LIVE	1599409821.3609884	24566	4088	570	0
TV Rain	1599409851.9004998	41391	29858	1610	0
Соловьёв LIVE	1599409852.460879	24510	4118	575	0
TV Rain	1599409882.9782946	41739	29873	1611	0
Соловьёв LIVE	1599409883.4817839	24520	4132	577	0
TV Rain	1599409914.002715	42007	29893	1612	0
Соловьёв LIVE	1599409914.4946098	24428	4168	582	0
TV Rain	1599409945.0247386	42286	29909	1612	0
Соловьёв LIVE	1599409945.4885	24467	4239	586	0
TV Rain	1599409976.0283344	42573	29925	1613	0
Соловьёв LIVE	1599409976.523433	24627	4269	591	0
TV Rain	1599410007.101527	42607	30088	1613	0
Соловьёв LIVE	1599410007.6930213	24677	4295	596	0
TV Rain	1599410038.2468798	42040	30296	1619	0
Соловьёв LIVE	1599410038.7275696	24709	4318	610	0
TV Rain	1599410069.2382476	41745	30346	1621	0
Соловьёв LIVE	1599410069.700718	24907	4333	617	0
TV Rain	1599410100.1567075	41654	30396	1626	0
Соловьёв LIVE	1599410100.5749967	25006	4365	622	0
TV Rain	1599410131.1406496	41660	30452	1629	0
Соловьёв LIVE	1599410131.6167777	24988	4389	628	0
TV Rain	1599410162.1054869	41541	30523	1633	0
Соловьёв LIVE	1599410162.5897286	25007	4415	631	0
TV Rain	1599410193.1565082	41645	30653	1635	0
Соловьёв LIVE	1599410193.637432	25105	4429	635	0
TV Rain	1599410224.0999265	41805	30759	1636	0
Соловьёв LIVE	1599410224.7011468	25121	4453	636	0
TV Rain	1599410255.2319405	41746	30791	1636	0
Соловьёв LIVE	1599410255.7551808	25157	4468	642	0
TV Rain	1599410286.2588158	41798	30824	1637	0
Соловьёв LIVE	1599410286.7261264	25109	4494	644	0
TV Rain	1599410317.2769408	41817	30851	1639	0
Соловьёв LIVE	1599410317.7704082	25189	4517	645	0
TV Rain	1599410348.3236442	41886	30869	1640	0
Соловьёв LIVE	1599410348.8506637	25174	4542	651	0
TV Rain	1599410379.3965285	41934	30890	1642	0
Соловьёв LIVE	1599410379.8672743	25131	4573	655	0
TV Rain	1599410410.3686604	42034	30902	1644	0
Соловьёв LIVE	1599410410.8637588	25157	4603	657	0
TV Rain	1599410441.3719282	41905	30923	1645	0
Соловьёв LIVE	1599410441.8206582	25201	4624	657	0
TV Rain	1599410472.2995148	41941	30934	1646	0
Соловьёв LIVE	1599410472.8273647	25273	4645	664	0
TV Rain	1599410503.336621	41866	30957	1647	0
